name,query,department,affiliation
남효석,Nam Hyo-Suk,신경과학교실,"Yonsei OR Severance"
김형범,Hyung Bum Kim,약리학교실,"Yonsei OR Severance"
조병철,Byoung Chul Cho,종양내과학교실,"Yonsei OR Severance"
